uid,AcademicInterest,ExtracurricularActivities,Skills,Major,GPA,Languages,ClubMemberships,ResearchInterests
1,Psychology,Debate Club,Problem Solving,Psychology,3.27,"Chinese, Japanese, Spanish, German, French","Music Club, Art Club, Sports Team, Debate Club, Coding Club",Biomedical Engineering
2,Psychology,Debate Club,"Leadership, Problem Solving, Public Speaking, Data Analysis, Programming",Physics,3.17,"French, English, Chinese, Spanish, Japanese","Art Club, Music Club, Sports Team, Coding Club",Urban Planning
3,History,Volunteer Group,"Data Analysis, Leadership, Public Speaking, Artistic, Problem Solving",Biology,2.09,"Spanish, Japanese, German, French","Music Club, Art Club, Debate Club, Volunteer Group, Coding Club, Sports Team",Nanotechnology
4,Computer Science,Volunteer Group,"Public Speaking, Data Analysis, Problem Solving",Biology,2.56,"Japanese, Chinese, Spanish, French","Sports Team, Volunteer Group",Space Exploration
5,Computer Science,Sports Team,Data Analysis,Computer Science,2.01,English,"Sports Team, Volunteer Group, Music Club",Climate Change
6,Biology,Debate Club,"Public Speaking, Artistic",History,2.99,Japanese,"Art Club, Coding Club, Volunteer Group",Machine Learning
7,History,Art Club,"Public Speaking, Problem Solving, Data Analysis, Artistic",Psychology,3.35,"Chinese, English, Spanish, German","Music Club, Debate Club, Sports Team",Cybersecurity
8,Computer Science,Volunteer Group,"Programming, Public Speaking, Artistic, Leadership",Psychology,3.64,"Chinese, Japanese, Spanish","Debate Club, Art Club, Coding Club, Volunteer Group",Environmental Sustainability
9,Mathematics,Sports Team,"Leadership, Artistic, Problem Solving, Public Speaking, Programming, Data Analysis",Mathematics,2.97,"German, English, Japanese, Chinese",Music Club,Bioinformatics
10,Biology,Sports Team,"Programming, Data Analysis, Problem Solving, Leadership",History,3.03,"Chinese, German, Spanish","Coding Club, Volunteer Group, Music Club",Social Sciences
11,Psychology,Sports Team,"Programming, Leadership, Artistic, Data Analysis",Psychology,3.02,"German, English, Spanish, French","Coding Club, Sports Team, Art Club",Social Sciences
12,Mathematics,Coding Club,"Public Speaking, Programming, Problem Solving, Leadership",Biology,3.96,German,"Sports Team, Debate Club",Quantum Computing
13,Physics,Music Club,"Programming, Artistic, Problem Solving",Mathematics,2.98,"English, Japanese, Chinese, Spanish, German, French","Debate Club, Volunteer Group, Music Club, Art Club, Sports Team",Machine Learning
14,History,Sports Team,"Artistic, Problem Solving, Programming",Biology,2.48,Japanese,"Art Club, Debate Club, Music Club",Cognitive Psychology
15,History,Music Club,"Artistic, Problem Solving, Public Speaking, Data Analysis",Computer Science,2.54,German,"Sports Team, Coding Club, Music Club, Debate Club, Volunteer Group",Biomedical Engineering
16,Mathematics,Debate Club,"Artistic, Programming, Leadership",Computer Science,2.5,English,"Coding Club, Debate Club, Music Club, Sports Team, Art Club",Cognitive Psychology
17,Computer Science,Music Club,"Data Analysis, Programming, Problem Solving, Public Speaking, Leadership, Artistic",Physics,3,"Chinese, Japanese, English","Volunteer Group, Debate Club, Art Club, Music Club",Robotics
18,Biology,Volunteer Group,"Data Analysis, Problem Solving, Public Speaking",Computer Science,3.91,Japanese,"Volunteer Group, Sports Team, Art Club, Coding Club",Space Exploration
19,Physics,Coding Club,"Programming, Artistic, Public Speaking, Data Analysis, Leadership, Problem Solving",Biology,2.44,"English, German","Debate Club, Sports Team, Art Club, Coding Club",Blockchain Technology
20,Physics,Debate Club,"Public Speaking, Leadership, Artistic, Data Analysis, Problem Solving, Programming",History,3.64,"Chinese, German, Spanish, English, French, Japanese",Debate Club,Machine Learning
21,Physics,Coding Club,"Programming, Public Speaking, Data Analysis, Leadership, Problem Solving",Mathematics,2.36,"German, Chinese, French","Art Club, Volunteer Group, Debate Club",Environmental Sustainability
22,Biology,Sports Team,"Problem Solving, Data Analysis, Leadership, Artistic",Psychology,3.8,"Spanish, English","Art Club, Music Club",Astrophysics
23,Psychology,Volunteer Group,"Artistic, Leadership, Data Analysis, Problem Solving, Public Speaking",Mathematics,3.81,"Chinese, English, German, French, Japanese, Spanish","Coding Club, Art Club",Educational Technology
24,Computer Science,Music Club,"Public Speaking, Data Analysis, Artistic",Physics,3.12,"Chinese, English, Japanese, French, Spanish","Debate Club, Art Club, Coding Club, Music Club",Climate Change
25,Physics,Coding Club,"Data Analysis, Problem Solving, Artistic, Public Speaking, Leadership, Programming",Physics,2.79,"English, Spanish, Japanese, French, Chinese, German","Debate Club, Sports Team, Music Club, Coding Club, Art Club",Environmental Sustainability
26,Physics,Debate Club,"Artistic, Problem Solving, Leadership, Programming, Data Analysis, Public Speaking",Physics,2.77,"Japanese, Chinese, Spanish","Sports Team, Art Club, Music Club, Debate Club",Data Science
27,Computer Science,Sports Team,"Problem Solving, Artistic, Data Analysis, Programming, Leadership, Public Speaking",History,3.42,English,"Sports Team, Volunteer Group, Debate Club, Art Club, Coding Club, Music Club",Quantum Computing
